"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",1.8,2.75,0.42,2.31,1.41,1.65,1.87,2.39,1.4,2.47,2.02,1.31,1.1,0.22,0.87,0.39,0.54,1.17,0.66,1.26,1.94,2.28,1.04,1.01,1.36,1.18,1.08,1.36,0.73,1.42,1.06,0.87,1.7,1.07,2.74,1.42,1.92,1.11,0.53,0.01,-0.43,-1.67,-0.85,-1.23,-1.26,-1.08,-1.93,-3.11,-1.22,-1.57,-1.96,-2.82,-1.33,-1.08,-1.02,-1.07,-0.78,-0.47
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.34,2.21,1.09,2.1,2.28,2.23,2.39,3.35,2.37,2.64,3.32,2.26,1.25,0.67,0.32,0.36,0.52,0.79,0.61,2.09,1.23,1.59,0.41,0.21,0.63,0.38,0.84,1.05,0.94,0.31,1.53,1.53,2.37,3.27,2.47,1.85,2.19,2.28,0.85,-0.89,-0.83,-0.51,-0.14,-0.42,-0.21,0.04,0,-2.27,-1.92,-2.06,-1.69,-1.92,-1.98,-1.94,-0.89,-1.14,-0.28,-0.31
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.05,0.46,1.25,0.32,0.57,0.12,0.22,0.4,0.14,0.22,0.16,1.11,0.95,1.07,1.03,1.52,1.53,1.53,1.56,1.59,1.6,1.45,1.46,1.53,1.38,0.63,0.7,0.89,1.08,1.14,1.32,1.37,1.29,1.31,0.88,1.41,0.92,0.95,0.99,1.45,1.05,0.48,0.48,0.66,0.19,0.26,0.26,1.24,1.5,1.46,1.45,1.33,1.53,1.64,1.66,1.61,1.55,1.36
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-11.06,-8.11,3.19,-8.85,-4.35,-10.86,-10.38,-8.06,-10.73,-10.07,-10.8,17.18,14.47,38.78,40.59,70.19,75.29,74.46,76.46,83.81,93.02,93.42,74.87,77.37,58.38,8.37,10.1,27.57,75.28,83.3,83.72,83.22,78,69.42,81.52,87.22,77.38,48.52,59.25,27.68,25.69,6.42,3.64,15.81,-5.54,-4.99,-5.32,26.97,57.41,56.7,58.62,76.74,66.51,74.28,82.59,82.08,89.7,81.27
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.9534,-9.278,-13.6394,-11.0595,-12.9726,-12.7717,-14.9918,-13.6542,-12.8245,-13.0445,-12.6092,-17.5517,-19.1088,-22.1684,-22.0375,-22.9663,-23.2136,-21.2519,-22.0739,-20.6534,-20.3554,-18.7661,-15.0398,-12.8609,-10.7249,-10.9449,-9.4517,-10.0307,-30.1225,-31.8383,-31.6648,-31.3709,-29.6392,-28.3415,-23.9406,-31.7315,-24.0879,-24.8052,-26.5104,-25.5593,-15.9119,-14.8326,-13.3846,-12.7658,-11.8238,-12.1682,-12.5655,-14.8042,-10.6627,-10.7284,-15.3893,-17.2083,-17.6294,-17.5732,-20.9658,-21.5601,-25.5554,-24.6114
"B Max Drawdown",-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-2.6482,-2.9728,-7.3342,-2.4167,-4.3298,-4.1289,-6.349,-5.0114,-4.1817,-4.4017,-3.9664,-6.6888,-8.2459,-8.7238,-8.5929,-9.5217,-9.769,-7.8073,-8.6293,-7.2088,-7.3673,-6.2043,-4.3833,-5.6056,-3.4696,-6.5318,-5.0386,-1.627,5.604,3.8882,4.0617,4.3556,6.0873,7.385,11.7859,3.995,11.6386,10.9213,9.2161,5.7933,-8.1441,-7.0648,-5.6168,-4.9981,-4.056,-5.0566,-6.4744,-10.9804,-5.4845,-5.5502,-10.2111,-12.0301,-12.4512,-11.2774,-10.6977,-6.7654,-8.7715,-7.8275
