"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",1.1,2.37,0.25,1.92,1.62,2.16,2.25,2.99,1.21,2.08,2.07,1.67,1.28,0.4,0.98,0.69,0.96,1.39,1.97,2.77,5.15,3.82,1.97,1.56,1.65,1.05,1.31,1.29,0.99,2.49,0.82,-0.12,0.42,0.41,0.82,0.28,0.92,0.83,0.46,0.95,2.59,1.58,2.73,1.18,0.65,1.25,1.58,0.23,0.2,0.14,0.03,0.41,0.35,0.86,0.95,-0.18,0.13,-0.32
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.92,1.42,0.42,0.83,1.37,1.26,1.36,1.99,1.25,1.4,2.02,1.35,0.79,0.28,0.23,0.48,0.6,0.74,0.9,1.49,1.43,1.8,1.59,1.22,1.35,0.7,1.11,0.76,0.62,0.62,1.08,0.53,1,1.45,0.77,0.72,0.85,1.18,0.91,0.61,0.73,0.27,0.88,0.17,0.09,-0.01,-0.03,0.62,0.08,-0.01,0.48,0.19,0.06,-0.02,0.65,0.03,0.46,-0.18
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.29,0.39,1.1,0.7,0.77,0.7,0.7,0.8,0.5,0.57,0.58,0.88,0.78,0.6,0.6,0.89,0.98,0.95,0.98,1.02,0.93,0.68,0.63,0.76,0.72,0.5,0.54,0.71,0.98,0.99,1.35,1.45,1.41,1.42,1.17,1.49,1.36,1.25,1.45,1.58,1.69,1.15,1.22,1.28,1.34,1.32,1.38,0.78,1.08,1.02,0.85,0.82,0.9,1.1,0.95,1.07,1.23,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-4.51,-5.03,23.42,19.53,22.15,18.35,14.84,24.58,2.15,7,1.52,33.33,34.75,38.05,35.03,63.06,69.75,70.63,80.52,92.19,93.96,80.93,34.53,47.96,29.45,17.35,14.36,22.38,82.65,84.13,84,94.04,90.2,82.8,90.69,90.85,90.89,80.87,84.18,65.23,77.07,87.73,81.23,84.4,81.57,73.63,70.62,17.86,47.04,48.17,33.95,51.29,55.77,73.24,64.89,81.87,82.35,81.28
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-6.1719,-5.6123,-11.4071,-10.7093,-11.6117,-12.1322,-12.8316,-12.2986,-11.8245,-12.3367,-11.672,-11.2566,-12.8617,-15.3747,-15.4105,-17.0338,-17.1541,-14.5498,-12.7826,-13.7611,-9.946,-7.1034,-5.7393,-6.5347,-6.9311,-5.0997,-5.76,-9.1102,-31.305,-30.5905,-35.2502,-38.2714,-36.9597,-38.0668,-34.3307,-39.6819,-37.5849,-34.9502,-39.7311,-33.2393,-8.7011,-6.4376,-7.0234,-7.8814,-7.8191,-6.7972,-7.9777,-8.8185,-8.6714,-8.2015,-8.7235,-7.2774,-7.1121,-8.0065,-10.8071,-15.7775,-19.672,-18.2788
"B Max Drawdown",-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.1333,0.6929,-5.1019,-2.0665,-2.9689,-3.4894,-4.1888,-3.6558,-3.1817,-3.6939,-3.0292,-0.393700000000001,-1.9988,-1.9301,-1.9659,-3.5892,-3.7095,-1.1052,0.661999999999999,-0.316500000000001,3.0421,5.4584,4.9172,0.7206,0.3242,-0.6866,-1.3469,-0.7065,4.4215,5.136,0.476300000000002,-2.5449,-1.2332,-2.3403,1.3958,-3.9554,-1.8584,0.776299999999999,-4.0046,-1.8867,-0.9333,1.3302,0.744400000000001,-0.113700000000001,-0.0512999999999995,0.3144,-1.8866,-4.9947,-3.4932,-3.0233,-3.5453,-2.0992,-1.9339,-1.7107,-0.539,-0.982799999999999,-2.8881,-1.4949
