"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"P Information Ratio",1.21,1.25,0.31,1.12,0.81,1.21,0.95,1.21,1.25,0.95,0.85,1.24,1.33,1.34,1.38,1.14,1.22,1.15,0.84,1.23,1.24,1.32,1.18,1.22,1.29,1.28,0.28,0.04,0.13,0.02,-0.47,-0.26,-0.02,-0.44
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.67,1.67,0.49,1.45,1.47,1.55,2.47,2.48,2.41,2.06,1.76,1.9,1.87,1.92,1.34,1.38,1.62,1.21,1.06,1.4,1.33,1.28,1.11,0.91,1.08,0.94,0.41,-0.07,0.08,-0.26,-0.66,-0.53,-0.15,-0.34
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.17,1.21,1.24,1.17,1.12,1.09,1.45,1.46,1.45,1.57,1.74,1.49,1.55,1.52,1.51,1.43,1.45,1.47,1.47,1.47,1.48,1.4,1.45,1.44,1.39,1.26,1.38,1.36,1.31,1.4,1.31,1.32,1.2,1.16
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",28.99,27.56,28.56,29.84,42.84,35.76,42.18,43.2,45.46,54.18,64.8,66.38,69.78,71.32,75.12,74.34,75.01,74.94,74.72,76.68,76.95,77.27,79.63,77.61,75.44,70.84,64.79,63.18,59.96,67.95,67.97,70.62,63.79,54.89
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-21.4951,-21.3742,-21.4376,-20.9489,-32.8056,-30.807,-30.6643,-31.9445,-31.2944,-36.6515,-41.6704,-35.1742,-36.4584,-35.8457,-35.2501,-33.6245,-33.6907,-33.5918,-34.1987,-33.5257,-34.1627,-32.6321,-34.2085,-33.656,-32.5155,-31.0275,-33.4644,-31.4753,-30.1225,-31.8383,-39.5198,-37.1082,-38.1395,-37.6135
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-8.0505,-7.9296,-7.993,-7.5043,2.9209,4.9195,5.0622,3.782,4.4321,-0.924999999999997,-5.9439,0.552300000000002,-0.731899999999996,-0.119199999999999,0.476399999999998,2.102,2.0358,2.1347,1.5278,2.2008,1.5638,3.0944,1.518,2.0705,3.211,4.699,2.2621,4.2512,5.604,3.8882,-3.7933,-1.3817,-2.413,-1.887
