"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.79,2.45,2.95,2.01,1.27,0.06,0.04,0.48,-0.08,0.17,-0.07,0.31,0.29,0.24,0.22,0.44,0.4,0.02,1.56,1.23,0.79,0.81,0.44,0.5,0.75,0.73,0.79,1.29,0.11,1.24,1.55,0.67,1.13,2.42,2.29,1.45,0.53,-0.73,-0.79,-0.73,-1.03,-0.23,0.68,0.5,0.38,0.37,0.29,0.12,-0.42,0.21,1.13,0.76,2.15,2.2,2.49,2.1,1.77,1.82
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.92,1.02,0.9,0.5,0.33,0.99,0.99,0.81,0.75,0.76,0.77,0.41,0.06,0.05,0.09,0.4,0.52,0.55,2.09,1.96,1.62,1.92,0.38,0.29,0.2,0.42,0.31,0.12,0.93,0.66,0.66,0.91,0.82,0.75,0.79,1.38,1.34,1.84,1.68,1.42,1.73,1.16,1.43,1.27,1.55,1.54,1.27,1.84,1.35,1.2,1.37,1.23,1.85,1.29,1.45,1.67,1.62,1.62
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",0.67,-0.26,0.22,0.51,-2.27,36.26,29.63,25.57,32.64,29.78,32.78,11.87,-4.59,-4.63,-4.3,9.14,17.27,15.17,48.71,51.91,39.61,43.21,19.35,7.8,-0.08,24.34,14.38,-3.34,76.6,66.23,55.9,85.73,59.1,20.74,22.74,51.71,55.45,77.46,82.43,86.11,82.05,81.02,64.68,77.36,67.15,64.89,68.26,68.38,78.87,83.13,82.25,61.96,42.91,30.09,31.49,52.72,49.61,52.99
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.1584,-17.8336,-14.3468,-8.9499,-12.1505,-9.934,-10.3295,-9.2174,-10.7817,-8.5244,-10.9262,-9.6352,-15.1664,-13.7846,-15.8687,-15.3127,-14.8998,-17.9742,-31.6804,-29.1084,-24.7756,-26.9058,-12.7695,-12.049,-11.6153,-8.8493,-6.9398,-11.1738,-38.7243,-24.9945,-24.1788,-31.2531,-29.1176,-26.294,-24.3144,-39.4968,-41.2573,-55.0217,-51.5624,-46.1803,-52.6088,-33.9753,-42.7506,-38.3094,-47.7191,-48.3708,-41.2169,-55.4413,-42.444,-39.5374,-44.0656,-36.7717,-14.6255,-15.2359,-13.056,-20.1284,-21.6022,-22.2878
"B Max Drawdown",-11.3912,-8.3509,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-12.7672,-9.4827,-8.0416,-0.3071,-3.5077,-1.2912,-1.6867,-0.5746,-2.1389,0.118399999999999,-2.2834,1.2277,-4.3035,-0.34,-2.4241,-1.8681,-1.4552,-4.5296,-18.2358,-15.6638,-11.331,-13.4612,0.675099999999999,1.3957,1.8293,4.5953,6.5048,2.2708,-2.9978,10.732,11.5477,4.4734,6.6089,9.4325,11.4121,-3.7703,-5.5308,-19.2952,-15.8359,-10.4538,-16.8823,1.7512,-7.0241,-2.5829,-11.9926,-12.6443,-5.4904,-19.7148,-6.7175,-3.8109,-8.3391,-5.4191,-6.8577,-7.4681,-2.7879,-5.3337,-4.8183,-5.5039
