"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"P Information Ratio",1.01,0.92,0.66,0.98,0.4,0.2,1.03,1.02,0.96,1.02,0.74,1.02,0.89,1.18,1.15,0.94,1,1.2,1.46,1.43,1.68,1.3,1.43,0.81,0.59,0.71,1.27,1.12,1.18,1.4,1.27,1.4,0.46,0.3,0.2,-0.33,-0.39,-0.15,-0.21,-0.32
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.42,2.37,1.97,2.14,0.65,0.42,1.49,1.47,1.42,1.42,1.56,1.93,2.09,2.35,2.18,2.04,1.8,1.87,1.91,2.12,1.66,1.52,1.86,0.94,0.9,1.01,1.13,1.11,1.11,1.21,1.08,1.08,0.55,0.36,0.17,-0.58,-0.43,-0.24,-0.3,-0.11
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",2.21,2.19,2.13,2,2.05,1.67,1.16,1.28,1.28,1.52,1.38,1.57,1.64,1.65,1.56,1.55,1.53,1.44,1.3,1.38,1.47,1.44,1.51,1.6,1.57,1.65,1.54,1.54,1.38,1.25,1.32,1.05,1.23,1.1,1.21,1.43,1.22,1.13,1.16,0.9
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",27.3,26.29,24.96,29.69,25.52,28.18,27.48,27.82,28.63,46.17,54.66,57.44,54.2,56.89,54.83,54.7,59.7,64.05,63.87,64.3,76.01,74.71,75.98,72.88,73.09,73.78,78.99,78.66,74.94,69.47,73.43,67.44,62.35,54.92,58.03,67.99,69.14,67,54.25,36.52
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.8931,-32.6834,-31.6309,-31.1895,-33.6567,-29.4272,-20.181,-22.4649,-22.89,-24.9777,-35.7732,-35.6711,-38.9272,-36.0949,-35.9955,-37.8222,-35.1775,-33.2633,-30.2617,-31.18,-35.2603,-33.3448,-34.4425,-39.9804,-38.5248,-41.6256,-37.0024,-37.5173,-34.1646,-28.3153,-31.4353,-26.3151,-30.2199,-30.4583,-30.6943,-35.8899,-32.3928,-34.1023,-34.5185,-30.2235
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-20.4485,-19.2388,-18.1863,-17.7449,-20.2121,-15.9826,-6.7363,-9.0203,-9.4454,-11.5331,-0.0467000000000013,0.0553999999999988,-3.2007,-0.368400000000001,-0.268999999999998,-2.0957,0.548999999999999,2.4632,5.4648,4.5465,0.466200000000001,2.3817,1.284,-4.2539,-2.7983,-5.8991,-1.2759,-1.7908,1.5619,7.4112,4.2912,9.4114,5.5066,5.2682,5.0322,-0.163399999999996,3.3337,1.6242,1.208,5.503
