"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"P Alpha Stat",0.8,1.02,1.13,0.87,0.79,0.84,0.57,0.78,0.68,0.57,0.69,0.49,0.31,0.26,0.21,0.4,0.19,0.22,0.12,0.04,0.33,0.4,0.88,0.71,0.77,0.73,0.51,0.6
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.18,1.19,1.11,1.11,1.2,1.21,1.18,1.18,1.17,1.19,1.15,1.27,1.17,1.2,1.34,1.3,1.28,1.31,1.28,1.28,1.32,1.4,1.17,1.14,1.03,1.18,1.15
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.35,87.68,80.57,87.94,86.76,87.31,87.83,76.89,78.8,84.98,82.05,73.75,81.34,81.14,81.16,90.2,92.23,91.17,91.31,92.23,91.51,79.85,72.63,75.97,74.94,74.46,78.61,77.74
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.88,-33.8395,-32.7834,-32.9359,-32.6383,-33.6332,-34.7665,-33.5421,-32.6371,-33.7196,-33.2799,-32.4164,-35.468,-33.5981,-33.9466,-37.3821,-36.0754,-36.6316,-36.431,-36.1262,-36.0688,-32.1095,-7.2718,-8.5463,-11.734,-15.4481,-18.5847,-18.4954
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",1.8465,1.887,2.9431,2.7906,3.0882,2.0933,0.960000000000001,2.1844,3.0894,2.0069,2.4466,3.3101,0.258499999999998,2.1284,1.7799,-1.6556,-0.3489,-0.905099999999997,-0.704499999999996,-0.399699999999996,-0.342300000000002,-0.756899999999998,0.496,-0.7785,-1.4659,-0.6534,-1.8008,-1.7115
