"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"P Information Ratio",0.99,1.11,0.59,1.03,0.89,1.08,0.8,0.94,1.18,0.89,0.97,1.33,1.23,1.11,1.23,0.91,0.99,0.93,1.04,1.18,1.21,1.01,0.77,0.81,0.75,0.91,0.2,0.18,0.26,0.27,0.07,-0.06,0.24,0.11
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.74,0.86,0.45,0.65,0.7,0.57,1.07,1.12,1.13,0.93,0.89,1.08,0.93,1.12,0.93,0.73,0.77,0.69,0.64,0.76,0.79,0.95,0.77,0.6,0.51,0.39,0.21,0.07,0.12,0.05,-0.11,-0.03,0.09,0.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.06,1.06,1.06,1.02,1.08,1.12,1.32,1.36,1.19,1.23,1.26,1.17,1.14,1.08,1.05,1.08,1.1,1.09,1.01,1.08,1.04,0.95,0.98,1.07,1.11,1.1,1.11,1.07,1.12,1.15,1.24,1.3,1.3,1.33
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",55.79,51.15,56.83,58.34,74.91,72.62,70.16,70.82,71.03,76.82,81.61,77.17,79.68,70.59,71.72,72.66,77.89,77.05,84.61,86.66,81.35,64.99,66.38,72.76,71.22,85.76,79.35,72.25,76.56,76.26,84.27,91.12,91.04,87.06
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.9908,-16.5071,-14.9966,-14.7144,-33.7164,-34.7538,-34.6069,-35.8817,-31.6432,-33.2811,-34.6001,-32.6155,-32.9586,-31.7042,-31.2302,-32.417,-32.8559,-31.5014,-30.0862,-31.5322,-31.3675,-29.375,-29.9522,-31.6845,-31.9106,-31.4105,-32.1067,-30.0271,-31.5163,-30.8352,-34.2604,-36.3985,-35.6983,-36.7109
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-3.5462,-3.0625,-1.552,-1.2698,2.0101,0.972700000000003,1.1196,-0.155200000000001,4.0833,2.4454,1.1264,3.111,2.7679,4.0223,4.4963,3.3095,2.8706,4.2251,5.6403,4.1943,4.359,6.3515,5.7743,4.042,3.8159,4.316,3.61980000000001,5.6994,4.2102,4.8913,1.4661,-0.671999999999997,0.0281999999999982,-0.984400000000001
