"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"P Information Ratio",2.13,1.38,1.05,0.97,0.95,1.48,1.38,1.34,1.4,1.28,1.23,1.42,0.91,0.97,1.2,1.13,0.81,1.11,0.84,0.99,1.23,1.1,1.87,2.2,1.75,1.58,1.59,1.27,1.19,1.02,1.35,1.46,1.19,1.06,0.55,0.46,0.48,0.85,0.6,0.53,0.43,0.3,0.56,2.36,1.94,2.03,0.92,0.65,0.98
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.65,2,1.15,0.92,0.75,0.88,1.13,1.25,1.21,1.35,1.18,1.3,0.9,0.92,1.03,0.71,0.74,0.67,0.4,0.48,1.19,1.1,1.51,1.64,2.35,1.98,1.82,1.47,0.69,0.66,0.79,0.98,0.78,0.65,0.48,0.35,0.54,0.54,0.49,0.36,0.34,0.27,0.14,0.87,0.88,1.09,0.58,0.7,0.65
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.55,0.45,0.89,0.72,0.84,0.86,1.09,1.16,1.23,1.36,1.44,1.18,1.39,1.16,1.03,1.01,0.92,0.92,0.89,0.94,1.2,1.09,1.11,1.07,0.97,1.03,1.13,1.14,1.4,1.32,1.23,1.19,1.26,1.33,1.4,1.53,1.38,1.25,1.34,1.16,1.15,1.27,1.33,1.52,1.2,1.11,1.28,1.21,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",1.48,-1.92,21.88,25.55,34.72,34.24,58.83,56.96,55.42,57.18,64.36,55.28,61.2,50.6,51.91,56.66,57.77,58.62,68.51,83.54,78.5,81.04,87.39,82.3,57.71,57.09,68.76,65.28,89.74,85.8,89.58,89.08,84.91,87.15,89.08,85.51,71.54,85.12,75.02,73.94,76.37,77.45,63.38,65.78,73.13,65.82,72.2,69.13,68
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.3735,-15.5609,-13.8612,-13.8973,-15.845,-16.8775,-15.8969,-16.6156,-17.9932,-19.6022,-20.7629,-16.303,-19.9373,-16.7582,-14.6977,-15.6296,-16.7277,-17.3882,-15.1641,-32.6049,-33.7938,-30.6368,-30.1191,-30.7334,-26.8577,-28.3391,-28.8666,-31.0673,-37.2452,-35.3952,-32.6157,-31.8726,-34.1059,-35.9567,-38.4994,-43.074,-39.1305,-37.3236,-37.34,-33.1719,-33.138,-35.9515,-30.3091,-8.5404,-9.5647,-10.7953,-17.9898,-20.7002,-22.2674
"B Max Drawdown",-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-5.7307,-6.9181,-2.9983,-3.0344,-2.4004,-3.4329,-2.4523,-3.171,-4.5486,-6.1576,-7.3183,-2.8584,-6.4927,-3.3136,-1.253,-2.185,-3.2831,-3.9436,-1.7195,3.1216,1.9327,5.0897,5.6074,4.9931,8.8688,7.3874,6.8599,4.6592,-1.5187,0.331299999999999,3.1108,3.8539,1.6206,-0.230199999999996,-2.7729,-7.3475,-3.404,-1.5971,-1.6135,2.5546,2.5885,-0.225000000000001,1.0435,-0.7726,-1.7969,-0.527199999999999,-3.1951,-3.9163,-5.4835
