"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"P Information Ratio",-0.38,0.03,0.24,-0.19,0.26,-0.26,-0.13,-0.37,-0.19,-0.22,0.09,0.61,0.06,0.25,0.42,0.27,0.17,0.16,0.28,-0.05,0.28,0.38,0.17,0.11,0.14,-0.27,-0.04,0.18,0.31,0.37,0.45,0.1,0.29,0.4
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.25,0.1,0.33,-0.13,0.17,-0.32,-0.2,-0.3,-0.02,-0.13,0.18,0.68,0.17,0.74,1.01,0.42,0.16,0.42,0.45,0.32,0.54,1.04,0.79,0.6,0.25,-0.06,0.18,0.33,0.28,0.44,0.29,0.49,0.52,0.43
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,0.99,0.98,0.93,1.13,1.29,1.35,1.46,0.92,0.93,0.83,0.9,0.71,0.64,0.62,0.8,0.82,0.77,0.59,0.75,0.65,0.52,0.58,0.75,0.9,0.92,0.87,0.79,0.96,0.98,1.32,1.51,1.58,1.64
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",55.33,55.41,55.6,53.71,75.51,74,79.88,81.4,76.6,71.58,70.99,45.5,43.89,20.65,21.37,29.32,41.16,37.35,51.78,66,41.48,11.96,13.86,25.04,32.19,74.47,54.31,35.99,58.86,50.19,68.13,68.12,73.9,70.13
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-20.5786,-18.7716,-12.8034,-13.6442,-38.3288,-45.4064,-44.1301,-47.8857,-32.0985,-32.7532,-29.2959,-31.0218,-30.6395,-27.835,-27.6506,-32.7979,-33.6159,-30.0977,-25.7755,-30.3487,-29.187,-26.3449,-26.6756,-30.5979,-31.8679,-31.1184,-31.5181,-27.6665,-33.0984,-30.328,-39.2213,-47.3395,-47.6094,-48.9342
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-7.134,-5.327,0.6412,-0.1996,-2.6023,-9.6799,-8.4036,-12.1592,3.628,2.9733,6.4306,4.7047,5.087,7.8915,8.0759,2.9286,2.1106,5.6288,9.951,5.3778,6.5395,9.3816,9.0509,5.1286,3.8586,4.6081,4.2084,8.06,2.6281,5.3985,-3.4948,-11.613,-11.8829,-13.2077
