"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"P Alpha Stat",3.43,1.01,4.28,1.16,1.59,1.75,1.13,0.32,0.37,2.98,0.31,-0.44,-0.01,0.65,0.79,1.11,0.92,0.7,-0.27,-0.35,0.47,0.62,0.19,0.05,0.3,1.01,1.06,0.71,2,0.4,0.19,-0.08,0.17,0.25,0.45,0.5,1.15,1.12,1.29,-0.47,-0.87,-0.15,0.42,0.25,0.48,0.75,0.39,0.52,0.84
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.53,1.28,1.36,0.93,0.76,0.96,1.15,1.01,0.72,2.37,0.87,1.18,0.89,0.18,0.18,0.2,0.17,0.52,0.9,1.46,1.68,1.72,1.62,0.91,1.1,0.79,0.77,0.54,0.99,0.62,0.64,0.99,0.89,0.9,0.76,0.75,0.7,0.58,1.33,1.67,1.78,1.41,0.88,0.91,0.85,1.55,1.41,1.72,1.64
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",9.33,7.66,7.22,14.34,14.26,6.72,50.19,59.01,49.65,27.16,60.78,66.65,61.86,0.74,-1.15,-0.31,-1.38,20.13,40.66,76.8,54.64,55.85,56.02,66.32,84.08,52.61,40.11,26.81,51.2,46.64,22.91,62.32,77.61,90.28,68.78,51.87,17.86,12.61,51.19,83.39,74.5,71.53,64.55,64.55,29.3,60.28,73.4,66.5,64.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-25.9562,-27.6896,-27.2794,-24.8886,-20.5252,-30.9346,-23.2693,-14.228,-9.4325,-35.2929,-12.3382,-20.3242,-14.8304,-11.9042,-10.8487,-12.6173,-14.0612,-13.6449,-21.6821,-49.0438,-59.7881,-58.3648,-61.2601,-33.6463,-35.673,-26.4406,-25.6294,-24.3186,-31.4699,-26.5445,-29.2793,-35.5866,-33.1311,-29.5258,-30.0364,-31.2284,-28.3694,-23.5738,-38.9153,-53.0591,-57.6693,-44.2348,-29.1478,-31.2205,-25.3952,-48.2199,-42.368,-51.3104,-49.833
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-10.7294,-12.4628,-13.6282,-11.4471,-7.0806,-17.49,-9.8247,-0.7834,4.0121,-21.8483,1.1064,-6.8796,-1.3858,1.5404,2.5959,0.827299999999999,-0.6166,-0.2003,-8.2375,-13.3173,-24.0616,-22.6383,-25.5336,2.0802,0.0534999999999997,9.2859,10.0971,11.4079,4.2566,9.182,6.4472,0.139900000000004,2.5954,6.2007,5.6901,4.4981,7.3571,12.1527,-3.1888,-17.3326,-21.9428,-8.5083,6.5787,4.506,10.3313,-12.4934,-6.6415,-15.5839,-14.1065
