"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"P Information Ratio",0.15,0.01,2.07,-0.48,-0.05,0.3,0.47,0.58,0.29,0.01,0.11,0.63,-0.43,0.25,0.73,0.29,0.65,0.39,-0.13,-0.2,0.09,0.21,0.18,0.29,0.4,0.23,0.15,0.4,0.3,0.12,0.28,0.08,0.34,0.42,0.44,0.49,0.56,0.22,0.42,0.58
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.13,-0.07,1.57,-0.21,0.01,0.22,0.41,0.53,0.23,-0.01,-0.06,0.9,-0.49,0.61,1.03,0.37,1.15,0.6,-0.17,-0.03,0.31,0.25,0.02,0.76,0.78,0.64,0.67,1.39,0.75,0.48,0.14,-0.2,0.07,0.17,0.2,0.34,0.66,0.6,0.91,0.85
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.15,1.11,0.98,0.93,0.8,0.76,0.8,0.72,0.74,0.87,1.07,1.29,1.11,0.76,1.03,1.01,1.13,0.92,0.66,0.8,0.68,0.71,0.39,0.48,0.59,0.58,0.37,0.59,0.87,1.19,1.29,1.48,1.25,1.3,1.39,1.79,1.82,1.68,1.72
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",47.22,61.36,50.85,67.48,60.07,59.37,52.15,51.69,43.87,42.88,64.34,43.77,77.04,39.54,28.13,62.94,42.74,48.54,64.86,60.01,51.71,44.63,65.47,18.14,25.85,49.75,27.05,4.35,16.27,33.2,53.8,83.15,77.91,75.48,78.56,77.38,66.12,67.85,66.45,67.45
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-23.8559,-23.6819,-21.4392,-15.9339,-14.5975,-12.4941,-13.6533,-12.7616,-13.008,-12.8626,-32.9879,-33.5953,-44.8759,-38.1262,-26.8713,-33.1999,-30.3174,-36.1216,-40.1553,-30.7721,-32.3064,-32.4486,-32.4025,-20.9522,-23.1061,-26.0036,-28.7267,-27.9381,-24.3841,-30.9424,-37.3522,-38.9884,-42.97,-37.7693,-36.4927,-39.8103,-53.4934,-54.2749,-50.2172,-51.7969
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-10.4113,-10.2373,-7.9946,-2.4893,-1.1529,0.9505,-0.208600000000001,0.683,0.4366,0.581999999999999,2.7386,2.1312,-9.1494,-2.3997,8.8552,2.5266,5.4091,-0.395099999999999,-4.4288,4.9544,3.42010000000001,3.2779,3.324,14.7743,12.6204,9.7229,6.9998,7.7884,11.3424,4.7841,-1.6257,-3.2619,-7.2435,-2.0428,-0.766199999999998,-4.0838,-17.7669,-18.5484,-14.4907,-16.0704
