"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.2,0.32,0.67,1.3,0.9,0.43,1.81,2.04,2.05,0.93,0.42,2.23,1.99,2.05,1.82,1.73,1.78,1.59,0.82,1.15,0.96,0.92,1.27,1.21,1.45,1.75,1.55,1.63,1.15,1.42,1.47,1.33,1.54,1.14,1.63,1.54,1,1.28,0.74,0.69,0.52,1.03,1.43,1.54,1.36,1.18,1.03,1.08,0.9
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-0.84,2.81,6.31,6.8,18.09,12.58,22.33,22.77,26.03,32.63,5.22,26.78,30.79,29.61,37.62,48.09,40.56,40.24,39.71,50.37,61.79,39.8,55.86,64.87,54.51,64.04,66.68,77.66,73.54,70.48,76.98,78.39,74.54,54.7,74.12,75.36,86.47,74.55,63.83,35.43,10.02,34.7,56.41,70.24,77.38,69.44,42.98,40.51,35.77
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9318,-11.0792,-21.0537,-29.5957,-19.2957,-11.798,-28.6005,-31.459,-33.6455,-25.5976,-21.5694,-32.2685,-29.8135,-31.5525,-27.7826,-26.7415,-31.6456,-27.6115,-13.1909,-31.0428,-30.8536,-26.2495,-31.6915,-31.6722,-35.3436,-46.3667,-34.9575,-48.228,-29.1617,-35.0135,-36.7023,-31.1402,-41.4859,-36.2903,-42.2828,-39.7998,-28.6379,-31.5044,-26.0682,-21.8869,-25.4973,-25.4959,-37.337,-40.9651,-36.3333,-30.7374,-28.7062,-34.1118,-29.0275
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",2.295,4.1476,-7.4025,-16.1542,-5.8511,1.6466,-15.1559,-18.0144,-20.2009,-12.153,-8.1248,-18.8239,-16.3689,-18.1079,-14.338,-13.2969,-18.201,-14.1669,0.2537,4.6837,4.8729,9.477,4.035,4.0543,0.382899999999999,-10.6402,0.768999999999998,-12.5015,6.5648,0.713000000000001,-0.9758,4.5863,-5.7594,-0.563800000000001,-6.5563,-4.0733,7.0886,4.2221,9.6583,13.8396,10.2292,10.2306,-1.6105,-5.2386,-0.6068,4.9891,7.0203,1.6147,6.699
