"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"P Information Ratio",2.42,0.79,1.59,1.41,1.2,1.13,1.42,1.11,1.34,1.25,0.08,0.49,0.97,0.97,0.9,0.66,0.43,1.17,1.39,0.79,0.86,0.79,0.84,1.35,1.09,1.02,1.23,0.58,1.33,1.49,0.85,1.22,0.87,0.25,0.98,0.95,0.53,0.85,0.73,1.02,-0.06,0.28,0.51,0.28,0.38,0.65,0.03,0.17,0.36
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.58,1.07,2.81,2.45,1.2,1.22,1.88,1.63,2.05,2.12,0.14,0.79,1.38,1.1,1.05,0.64,0.38,0.95,0.64,0.74,0.73,1.16,1.17,1.17,1.08,1.16,1.38,0.38,1.33,0.9,0.79,0.9,0.69,0.23,0.58,0.72,0.73,1.18,0.71,0.6,-0.25,0.23,0.39,0.13,0.26,0.28,0.1,0.1,0.37
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.9,0.84,1.12,1.16,0.84,0.73,1.54,1.7,1.65,1.81,0.65,1.89,1.65,1.44,1.17,1.01,1.04,1.16,0.85,1.26,1.33,1.37,1.47,1.08,1.3,1.29,1.18,1.09,1.07,1.02,1.06,1.17,1.23,1.01,1.18,1.14,0.84,0.92,1.06,1.11,1.08,1.2,1.17,1.24,1.1,1.36,1.19,1.38,1.29
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",9.95,12.08,11.16,14.41,21.45,10.01,38.09,34.51,34.58,37.62,43.71,40.21,44.41,35.84,37.25,50.03,43.79,51.06,63.94,77.9,72.39,65.13,67.51,70.33,76.04,72.84,68.97,78.29,69.92,73.91,68.34,79.82,81.82,76.89,85.54,78.93,51.14,49.97,65.73,79.35,70.22,65.06,67.3,78.8,66.9,80.79,76.33,74.5,75.4
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.1214,-16.4541,-22.6029,-23.5646,-19.8524,-23.0857,-24.494,-26.3944,-26.9226,-29.3757,-15.0849,-27.3094,-24.169,-21.956,-17.955,-15.1073,-16.416,-18.3493,-16.3261,-37.1687,-37.5708,-35.4996,-39.232,-32.4096,-35.2587,-34.5516,-30.1872,-35.2626,-30.2985,-30.5384,-32.1472,-32.8365,-37.443,-32.849,-35.3158,-34.8823,-28.21,-27.0423,-32.7629,-32.0095,-33.688,-33.2204,-32.8131,-36.2632,-30.5159,-38.9368,-32.8881,-37.121,-35.4011
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-2.8946,-1.2273,-8.9517,-10.1231,-6.4078,-9.6411,-11.0494,-12.9498,-13.478,-15.9311,-1.6403,-13.8648,-10.7244,-8.5114,-4.5104,-1.6627,-2.9714,-4.9047,-2.8815,-1.4422,-1.8443,0.226900000000001,-3.5055,3.3169,0.467800000000004,1.1749,5.5393,0.463900000000002,5.428,5.1881,3.5793,2.89,-1.7165,2.8775,0.410699999999999,0.844200000000001,7.5165,8.6842,2.9636,3.717,2.0385,2.5061,2.9134,-0.536699999999996,5.2106,-3.2103,2.8384,-1.3945,0.325400000000002
