"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",1.5,2.03,2.02,1.54,1.31,0.88,1,1.29,0.99,0.57,-0.21,0.85,0.54,0.67,0.96,0.42,1.26,2.94,1.49,1.58,1.67,1.27,1.26,-1.14,-0.32,-1.1,-1.56,-1.11,-2.02,-2.57,-1.39,-1.56,-2.72,-0.91,-0.84,-1.09,-1.14,-0.68,-1.07,-0.64
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.98,2.22,1.73,1.43,0.71,0.62,0.05,1.69,1.6,0.43,0.09,-0.14,1.07,1.35,1.52,1.62,2.06,2.39,2.07,2,1.46,1,1.23,0.08,0.39,-0.02,-0.46,0.38,0.12,-1.42,-1.21,-1.57,-2.41,-1.28,-1.37,-1.92,-1.27,-0.98,-0.84,-0.43
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.35,1.29,1.21,1.4,1.09,1.23,1.47,-0.21,0.04,0.8,1.15,1.11,1.36,1.29,1.31,1.37,1.34,1.29,1.36,1.35,1.25,1.34,1.03,0.66,0.53,0.54,0.24,0.13,0.19,0.99,1.04,1.2,1.51,1.29,1.4,1.83,1.6,1.59,1.21,1.24
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.4,81.13,74.84,89.5,59.08,63.04,59.24,-9.65,-11.04,33.08,84.8,79.9,79.59,75.71,79.31,92.11,90.39,93.52,89.85,91.34,90.11,74.15,46.96,29.09,14.71,6.15,-3.68,-9.08,-7.5,17.09,23.99,39.18,50.06,46.96,53.25,78.69,66.53,71.18,64.7,59.84
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.0887,-17.7365,-16.3381,-19.3916,-11.714,-9.8803,-9.6106,-10.5818,-10.2423,-11.7006,-33.9547,-32.3135,-32.4004,-32.2881,-30.5796,-32.4063,-32.8547,-31.2942,-31.6203,-31.6543,-30.9039,-26.4448,-11.756,-12.9961,-11.6826,-15.0581,-15.0306,-15.2479,-17.1397,-15.2972,-13.1083,-9.4905,-17.5093,-18.2592,-17.9157,-15.2371,-22.6089,-22.2624,-22.0887,-23.5118
"B Max Drawdown",-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-4.6441,-4.2919,-3.35,-6.8298,-1.0575,-2.625,-2.3553,-6.1687,-5.8292,-3.2969,1.7718,3.413,3.3261,3.4384,5.1469,3.3202,2.8718,4.4323,4.1062,4.0722,4.8226,4.9078,-3.9882,-5.2283,-3.9148,-7.2904,-7.2628,-8.1363,-11.0486,-11.4734,-7.9301,-4.3123,-12.3311,-13.081,-12.7375,-8.9413,-12.3408,-7.4677,-5.3048,-6.7279
