"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"P Information Ratio",0.88,1.3,1.63,2.11,1.95,1.55,1.78,1.62,1.28,2.19,1.46,1.33,1.41,1.3,1.44,1.45,1.36,1.36,1.07,1.3,1.24,1,0.79,1.01,0.43,0.65,1.23,1.1,0.55,1.46,1.36,1.7,1.71,0.75,1.26,0.58,0.39,-0.2,0.86,0.62,0.51,0.46,0.88,0.67,0.61,0.55,0.64,0.46,-0.01,0.34,0.65,0.76,2.22,1.87,1.89,1.18,0.77,1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.12,1.46,1.91,2,2.16,1.92,1.87,1.82,1.78,1.71,2.25,1.49,1.3,1.07,0.87,1.21,1.22,1.13,1.19,1.2,1.22,1.14,0.68,0.79,0.15,0.55,0.44,0.77,0.23,1.01,1.39,1.4,1.65,1.08,1.79,0.8,0.28,-0.22,0.47,0.77,0.61,0.17,0.69,0.46,0.6,0.64,0.53,0.35,-0.14,0.28,0.45,0.15,0.92,1.07,1.18,0.71,0.72,0.63
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.79,0.77,0.67,0.88,0.67,0.72,0.71,0.94,0.48,0.54,0.25,0.77,0.67,0.78,0.73,1.09,1.17,1.24,1.49,1.43,1.32,1.38,0.61,1.07,0.93,0.98,0.88,0.82,1.04,1.12,1.06,1.08,1.11,1,1.05,1.2,1.19,1.14,1.23,1.03,1.11,1.24,1.26,1.21,1.25,1.27,0.98,1.29,1.13,1.2,1.35,1.34,1.56,1.05,1.12,1.21,1.2,1.37
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",9.64,4.79,2.18,10.31,2.8,4.06,3.08,7.48,-0.56,1.65,-3.87,14.4,21.06,27.34,26.4,57.9,58.61,56.98,59.35,63.37,57.07,55.95,38.94,56.03,61.12,67.14,71.59,48.18,87.85,84.04,78.16,83.86,75,57.48,52.45,75.62,75.51,88.79,84.88,60.2,66.31,81.01,75.61,90.18,74.46,73.63,73.12,74.34,73.27,75.85,88.82,84.63,61.54,62.98,58.74,74,74.34,74.62
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.007,-9.2322,-7.4197,-14.09,-15.0419,-18.5149,-18.3416,-18.1962,-15.2502,-14.4924,-14.413,-16.086,-12.8673,-16.4396,-15.3759,-15.5828,-16.345,-17.6911,-23.3731,-21.2821,-18.9581,-18.7392,-12.9414,-14.8777,-15.2329,-16.2924,-12.7789,-12.7734,-34.9769,-32.2942,-29.4152,-31.0012,-32.0836,-29.9274,-28.7912,-33.103,-34.9832,-36.3295,-36.7717,-28.8627,-31.1813,-33.3471,-34.6847,-35.033,-36.1142,-36.6204,-28.6963,-36.1807,-33.0271,-34.692,-37.8695,-31.7966,-9.8403,-8.3307,-13.5653,-17.5833,-19.1001,-22.1093
"B Max Drawdown",-11.3912,-8.3509,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-0.6158,-0.881300000000001,-1.1145,-5.4472,-6.3991,-9.8721,-9.6988,-9.5534,-6.6074,-5.8496,-5.7702,-5.2231,-2.0044,-2.995,-1.9313,-2.1382,-2.9004,-4.2465,-9.9285,-7.8375,-5.5135,-5.2946,0.5032,-1.433,-1.7883,-2.8478,0.665699999999999,0.671199999999999,0.749600000000001,3.43230000000001,6.3113,4.7253,3.6429,5.7991,6.9353,2.6235,0.743300000000005,-0.603000000000002,-1.0452,6.8638,4.5452,2.3794,1.0418,0.6935,-0.387699999999995,-0.893899999999995,7.0302,-0.4542,2.6994,1.0345,-2.143,-0.444000000000003,-2.0725,-0.5629,-3.2972,-2.7886,-2.3162,-5.3254
