"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",-1.02,0.38,-0.32,-0.57,0.4,0.56,0.45,0.81,-0.09,-0.18,0.45,0.64,0.37,0.22,0.4,0.43,0.66,0.45,1.6,0.68,1.3,1.84,1.68,1.08,1.31,0.58,1.21,0.83,0.99,2.8,0.47,-0.86,-0.82,-0.31,-0.63,-0.54,0.07,0.07,0.22,1.61,3.02,2.07,1.91,1.49,1.12,1.46,2.29,2.36,1.03,1.18,1.28,1.99,1.5,2.17,1.57,0.66,0.71,0.01
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.61,0.56,-0.23,-0.57,0.43,0.35,0.36,0.49,-0.01,0.05,0.57,0.53,0.43,0,0.25,0.73,0.77,0.79,1.26,0.96,1.73,2.12,2.73,2.32,2.06,1.04,1.4,0.48,0.32,0.95,0.72,-0.56,-0.56,-0.32,-1.1,-0.46,-0.14,0.27,1.33,2.4,1.92,0.91,1.64,0.58,0.18,0.03,0.05,2.63,1.93,1.84,2.41,1.97,2.03,1.73,2.04,1.16,1.22,0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.55,0.3,0.99,1.2,1.04,1.45,1.35,1.33,1,1.05,1.13,0.56,0.53,0.04,0.13,0.32,0.46,0.37,0.46,0.46,0.28,-0.01,-0.1,-0.01,0.12,0.38,0.39,0.55,0.88,0.83,1.39,1.55,1.54,1.5,1.48,1.56,1.92,1.63,1.97,1.76,2.25,1.82,1.93,1.95,2.5,2.33,2.36,0.47,0.72,0.65,0.32,0.38,0.29,0.61,0.31,0.56,0.94,0.81
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",13.32,-5.95,15.3,35.94,23.73,40,44.7,45.93,29.64,23.71,28.7,-0.02,1.64,-11.01,-10.07,2.53,17.4,11.34,44.01,54.97,50.62,-11.1,-9.75,-11.1,-9.48,35.72,8.05,3.65,80.78,76.45,72.34,82.56,81.71,68.98,82.16,76.56,75.94,78.49,81.6,61.85,61.37,52.11,43.88,51.82,70.33,55.2,53.77,-7.26,3.49,1.21,-7.66,-0.2,-4.94,21.2,-4.41,9.98,38.45,34.17
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.9079,-8.7661,-10.2491,-13.2647,-12.7306,-15.1663,-12.9798,-12.5547,-12.9313,-14.2274,-13.5876,-16.3673,-14.7629,-16.7836,-16.5016,-17.4281,-14.8229,-12.5816,-7.9156,-8.9958,-5.3182,-6.5749,-6.2216,-7.6778,-8.056,-3.233,-5.4089,-8.8755,-33.0984,-30.328,-39.2213,-47.3395,-47.6094,-48.9342,-47.4287,-50.0997,-55.932,-50.5617,-54.0622,-43.7175,-14.7538,-13.4844,-12.2993,-11.8129,-14.0545,-13.042,-13.9356,-13.7397,-12.586,-11.2316,-11.1682,-8.2191,-7.2531,-6.5153,-6.8573,-13.5466,-15.8613,-14.5273
"B Max Drawdown",-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-7.6027,-2.4609,-3.9439,-4.6219,-4.0878,-6.5235,-4.337,-3.9119,-4.2885,-5.5846,-4.9448,-5.5044,-3.9,-3.339,-3.057,-3.9835,-1.3783,0.863,5.529,4.4488,7.6699,5.9869,4.4349,-0.4225,-0.800699999999999,1.1801,-0.9958,-0.4718,2.6281,5.3985,-3.4948,-11.613,-11.8829,-13.2077,-11.7022,-14.3732,-20.2055,-14.8352,-18.3357,-12.3649,-6.986,-5.7166,-4.5315,-4.0452,-6.2867,-5.9304,-7.8445,-9.9159,-7.4078,-6.0534,-5.99,-3.0409,-2.0749,-0.2195,3.4108,1.2481,0.922599999999999,2.2566
